stop_id,lat,lon,ward,is_existing_stop,nearest_node_degree,road_type,distance_to_major_road,distance_to_nearest_stop,stops_within_500m,stops_within_1km,pop_not_served_nearby,poverty_rate_weighted_pop,route_count_serving,trips_per_day,avg_headway_minutes,service_span_hours,routes_within_500m,avg_speed_daily,avg_speed_peak,avg_speed_offpeak,congestion_pct_daily,congestion_pct_peak,trip_count_daily,trip_count_peak,demand_variability_cv,dominant_congestion_level,ward_pct_access,ward_population,ward_poverty_rate,is_benchmark_ward,ward_category,distance_to_cbd,coverage_efficiency_nearby,demand_supply_ratio,network_accessibility,is_good_stop,pop_within_500m,subcounty_gini,trips_per_1k_pop_per_hour,gnn_probability,gnn_prediction,confidence
0001RLW,-1.290884,36.828242,Nairobi Central Ward,True,4,unclassified,185.4041217158844,173.68450669150394,9,57,0,947.8436363292692,7,14,102.85714285714286,1,7,17.684657596250318,11.666697525521228,20.693637631614862,60.45883468467407,92.24137931034484,543,224.0,0.490429447437139,congested,100.0,18997.26888177704,20.0,True,well_served,1.3249021538553027,1.7241379310344829,372.6666666666667,0.021458752967366,1,5590,0.0823102809141833,190.7642631450192,0.43672603,0,0.12654793
0002KOJ,-1.28123,36.822596,Nairobi Central Ward,True,3,residential,20.568572556179028,5.177885282391098,14,66,0,947.8436363292692,0,0,1440.0,0,46,17.684657596250318,11.666697525521228,20.693637631614862,60.45883468467407,92.24137931034484,543,224.0,0.490429447437139,congested,100.0,18997.26888177704,20.0,True,well_served,0.8308508424481096,1.492537313432836,5161.0,0.1390912630952274,1,5161,0.0823102809141833,190.7642631450192,0.99128854,1,0.9825771
0003NGR,-1.274395,36.823806,Ngara Ward Ward,True,3,primary,58.27568925327863,27.99831251390435,23,64,0,1553.0698902470162,0,0,1440.0,0,26,17.684657596250318,11.666697525521228,20.693637631614862,60.45883468467407,92.24137931034484,543,224.0,0.490429447437139,congested,100.0,25589.814342148355,20.0,True,well_served,1.5235631310738722,1.5384615384615383,7734.0,0.0506109677979672,1,7734,0.0823102809141833,80.65709162260065,0.99556303,1,0.99112606
0004ODN,-1.282769,36.825032,Nairobi Central Ward,True,3,tertiary,67.18323943423933,14.00978507142441,26,76,0,947.8436363292692,0,0,1440.0,0,54,17.684657596250318,11.666697525521228,20.693637631614862,60.45883468467407,92.24137931034484,543,224.0,0.490429447437139,congested,100.0,18997.26888177704,20.0,True,well_served,0.9597195176506756,1.2987012987012987,4809.0,0.0439990828375558,1,4809,0.0823102809141833,190.7642631450192,0.99691474,1,0.9938295
0005AMB,-1.285963,36.826048,Nairobi Central Ward,True,4,secondary_link,60.72515500986375,17.426994955135765,29,65,0,947.8436363292692,0,0,1440.0,0,65,17.684657596250318,11.666697525521228,20.693637631614862,60.45883468467407,92.24137931034484,543,224.0,0.490429447437139,congested,100.0,18997.26888177704,20.0,True,well_served,0.9848043786135756,1.5151515151515151,4731.0,0.0648034014553838,1,4731,0.0823102809141833,190.7642631450192,0.9915427,1,0.9830854
0006BSS,-1.287191,36.828881,Nairobi Central Ward,True,6,unclassified,138.3742566201157,4.739214835916075,35,67,0,947.8436363292692,0,0,1440.0,0,60,17.684657596250318,11.666697525521228,20.693637631614862,60.45883468467407,92.24137931034484,543,224.0,0.490429447437139,congested,100.0,18997.26888177704,20.0,True,well_served,1.301515742951185,1.4705882352941178,5094.0,0.0430495569662757,1,5094,0.0823102809141833,190.7642631450192,0.9949527,1,0.98990536
0007COM,-1.284282,36.826188,Nairobi Central Ward,True,4,secondary,25.46645788099672,10.581688057959171,25,71,0,947.8436363292692,0,0,1440.0,0,74,17.684657596250318,11.666697525521228,20.693637631614862,60.45883468467407,92.24137931034484,543,224.0,0.490429447437139,congested,100.0,18997.26888177704,20.0,True,well_served,1.026549126605942,1.3888888888888888,4731.0,0.1511346935047192,1,4731,0.0823102809141833,190.7642631450192,0.99693716,1,0.9938743
0008MUT,-1.288049,36.833947,Nairobi Central Ward,True,2,residential,226.88309038467315,11.84550728999907,22,63,0,947.8436363292692,0,0,1440.0,0,31,17.684657596250318,11.666697525521228,20.693637631614862,60.45883468467407,92.24137931034484,543,224.0,0.490429447437139,congested,100.0,18997.26888177704,20.0,True,well_served,1.8707193178952897,1.5625,13780.0,0.0087764300397363,1,13780,0.0823102809141833,190.7642631450192,0.9606091,1,0.92121816
0010OTC,-1.284947,36.830994,Nairobi Central Ward,True,4,secondary,4.847180759952018,8.4535081476161,30,74,0,947.8436363292692,0,0,1440.0,0,48,17.684657596250318,11.666697525521228,20.693637631614862,60.45883468467407,92.24137931034484,543,224.0,0.490429447437139,congested,100.0,18997.26888177704,20.0,True,well_served,1.5419246727734113,1.3333333333333333,11539.0,0.684090361528831,1,11539,0.0823102809141833,190.7642631450192,0.9950539,1,0.9901078
0011TUS,-1.285346,36.828574,Nairobi Central Ward,True,5,living_street,189.40529259106748,29.500647099123725,36,70,0,947.8436363292692,0,0,1440.0,0,70,17.684657596250318,11.666697525521228,20.693637631614862,60.45883468467407,92.24137931034484,543,224.0,0.490429447437139,congested,100.0,18997.26888177704,20.0,True,well_served,1.2698326423651285,1.408450704225352,5184.0,0.0262597742529062,1,5184,0.0823102809141833,190.7642631450192,0.99010146,1,0.9802029
